time [sec],velocity [m/s],angle [rad],x[m],y [m],Torque,,,
8.670018,24.04974,-0.034806,88.600571,55.114471,3209.820110048,,,1479.6141538461
8.700018,24.097509,-0.0360201,89.151886,55.581451,-12083.004919696,,,-5569.8402051282
8.730018,23.917688,-0.0370911,89.692078,56.053925,-12082.870530443,,,-5569.7782564102
8.760017,23.737869,-0.0382053,90.232254,56.526398,-13670.9483315458,,,-6301.8262564103
8.790017,23.534416,-0.039552,90.75589,56.999847,-13670.9483315458,,,-6301.8262564103
8.820017,23.330963,-0.0405452,91.279526,57.473328,-13824.4880529438,,,-6372.6026666667
8.850017,23.125225,-0.0418604,91.785965,57.947144,-13824.3536636911,,,-6372.5407179488
8.880016,22.919489,-0.0427384,92.292389,58.42099,-12946.5902586048,,,-5967.9226666666
8.910016,22.726816,-0.0439869,92.781784,58.895172,-12946.455869352,,,-5967.8607179487
8.940016,22.534145,-0.0447942,93.271194,59.369354,-12667.2621965255,,,-5839.1622564103
8.970016,22.345629,-0.0459766,93.743866,59.843994,-12667.3293911517,,,-5839.1932307692
9.000015,22.157112,-0.0466956,94.216537,60.318634,-11188.5772472548,,,-5157.5405128206
9.030015,21.990602,-0.0478026,94.673019,60.794037,-11188.5100526281,,,-5157.5095384615
9.060015,21.824093,-0.0485001,95.129486,61.26944,-10004.9439026483,,,-4611.9271794872
9.090014,21.675198,-0.0495274,95.570526,61.746216,-10004.8767080221,,,-4611.8962051283
9.120014,21.526304,-0.0501742,96.011566,62.222992,-8918.4739878632,,,-4111.1027692307
9.150014,21.393578,-0.0511404,96.43779,62.70163,-8918.5411824899,,,-4111.1337435898
9.180014,21.260851,-0.0517552,96.864014,63.180267,-8918.4067932367,,,-4111.0717948717
9.210013,21.128126,-0.0522999,97.290222,63.658905,-7900.2738135336,,,-3641.7483076923
9.240013,21.010553,-0.0533068,97.696091,64.140717,-7900.2066189073,,,-3641.7173333334
9.270013,20.892981,-0.0538841,98.101959,64.622528,-7014.6486371547,,,-3233.5062564102
9.300013,20.788588,-0.0547217,98.493698,65.106964,-7014.648637155,,,-3233.5062564103
9.330012,20.684195,-0.0552641,98.885437,65.591431,-5434.2982180917,,,-2505.0203076923
9.360012,20.603321,-0.0560119,99.263931,66.079193,-5434.2310234654,,,-2504.9893333334
9.390012,20.522448,-0.0565266,99.642426,66.566925,-5434.2982180919,,,-2505.0203076924
9.420012,20.441574,-0.056972,100.02092,67.054657,-4699.1218102952,,,-2166.1298461538
9.450011,20.371641,-0.0576922,100.381302,67.547791,-4698.9874210424,,,-2166.0678974359
9.480011,20.30171,-0.0581334,100.741684,68.040924,-4183.5374416795,,,-1928.4635897436
9.510011,20.23945,-0.0587164,101.089447,68.538055,-4183.3358578005,,,-1928.3706666668
9.54001,20.177193,-0.059107,101.43721,69.035187,-2920.614437883,,,-1346.3005128204
9.57001,20.133728,-0.0596099,101.772766,69.536774,-2920.6144378832,,,-1346.3005128206
9.60001,20.090263,-0.0599664,102.108322,70.038361,-2920.5472432567,,,-1346.2695384616
9.63001,20.046799,-0.0602714,102.443878,70.539917,-2591.0919898589,,,-1194.4022564103
9.660009,20.008238,-0.0607184,102.762878,71.048096,-2591.0919898586,,,-1194.4022564102
9.690009,19.969677,-0.0609995,103.081879,71.556274,-1432.1190731532,,,-660.1565128205
9.720009,19.948364,-0.06133,103.388824,72.069672,-1432.1862677797,,,-660.1874871795
9.750009,19.92705,-0.0615819,103.69577,72.583069,-1432.1190731534,,,-660.1565128206
9.780008,19.905737,-0.0617902,104.002701,73.096497,184.0460817984,,,84.8387692308
9.810008,19.908476,-0.0620071,104.293762,73.618042,183.9116925454,,,84.7768205128
9.840008,19.911213,-0.0621886,104.584808,74.139587,20.4943610619,,,9.4471794872
9.870008,19.911518,-0.0623201,104.864456,74.667419,20.3599718089,,,9.3852307692
9.900007,19.911821,-0.0624217,105.144104,75.195221,20.5615556884,,,9.4781538462
9.930007,19.912127,-0.0624945,105.423737,75.723022,1405.9131688446,,,648.0765128205
9.960007,19.93305,-0.0625039,105.687805,76.259705,1406.1147527238,,,648.1694358974
9.990006,19.953976,-0.0625529,105.951874,76.796387,1946.4267438665,,,897.2342564102
10.020006,19.982943,-0.0624877,106.204834,77.340179,1946.3595492402,,,897.2032820513
10.050006,20.011909,-0.0624758,106.457794,77.883972,1946.5611331195,,,897.2962051282
10.080006,20.040878,-0.0624503,106.710739,78.427734,2372.5750647008,,,1093.6736410257
10.110005,20.076187,-0.062252,106.948486,78.981384,2372.5750647006,,,1093.6736410256
10.140005,20.111496,-0.0621619,107.186234,79.535034,3739.3137663354,,,1723.6921025642
10.170005,20.167145,-0.061903,107.412903,80.096558,3739.3137663351,,,1723.6921025641
10.200005,20.222794,-0.0617852,107.639572,80.658081,3739.1121824559,,,1723.5991794872
10.230004,20.27844,-0.0616555,107.866257,81.219604,4319.8081440846,,,1991.2795897436
10.260004,20.342728,-0.0612381,108.07814,81.792419,4319.7409494581,,,1991.2486153846
10.290004,20.407015,-0.0610369,108.290024,82.365234,4962.9951082952,,,2287.7661538462
10.320004,20.480875,-0.0605997,108.490723,82.946838,4962.8607190422,,,2287.7042051281
10.350003,20.554733,-0.0603588,108.691422,83.528442,4962.9951082952,,,2287.7661538462
10.380003,20.628593,-0.0601191,108.89212,84.110046,5520.9120915633,,,2544.9462564103
10.410003,20.710756,-0.0595391,109.078033,84.703522,5520.9120915633,,,2544.9462564103
10.440002,20.792919,-0.0592453,109.263962,85.296997,5578.8338595478,,,2571.6461538461
10.470002,20.875944,-0.0586822,109.438309,85.899597,5578.8338595478,,,2571.6461538461
10.500002,20.958969,-0.0583346,109.612656,86.502197,5578.6994702951,,,2571.5842051282
10.530002,21.041992,-0.0580094,109.786987,87.104797,5596.3044624203,,,2579.6994871795
10.560001,21.125277,-0.0573546,109.946228,87.718811,5596.2372677938,,,2579.6685128205
10.590001,21.208561,-0.0569438,110.105484,88.332825,5596.2372677938,,,2579.6685128205
10.620001,21.291845,-0.0565696,110.264725,88.946838,5599.8657776213,,,2581.3411282052
10.650001,21.375183,-0.0558547,110.407501,89.572723,5599.7313883683,,,2581.2791794872
10.68,21.458519,-0.0550761,110.550278,90.198608,5600.0001668741,,,2581.4030769231
10.71,21.541859,-0.0541687,110.681427,90.83252,5599.7985829948,,,2581.3101538462
10.74,21.625196,-0.0531239,110.812592,91.466431,5599.8657776213,,,2581.3411282052
10.77,21.708534,-0.0522673,110.943741,92.100342,5600.0001668741,,,2581.4030769231
10.799999,21.791874,-0.0512449,111.060104,92.744385,5600.0001668741,,,2581.4030769231
10.829999,21.875214,-0.0500304,111.176468,93.388397,5599.7985829948,,,2581.3101538462
10.859999,21.958551,-0.0490565,111.292816,94.03244,5600.0001668741,,,2581.4030769231
10.889998,22.041891,-0.0479387,111.393982,94.686737,5600.0001668741,,,2581.4030769231
10.919998,22.125231,-0.0466649,111.495163,95.341003,5599.9329722478,,,2581.3721025642
10.949998,22.20857,-0.0454294,111.585983,96.002228,5600.0001668741,,,2581.4030769231
10.979998,22.29191,-0.0442001,111.676788,96.663452,5600.0001668741,,,2581.4030769231
11.009997,22.37525,-0.0432168,111.767609,97.324677,5600.0001668741,,,2581.4030769231
11.039997,22.45859,-0.0421583,111.8452,97.994751,5599.9329722476,,,2581.3721025641
11.069997,22.541929,-0.0410093,111.922791,98.664795,5599.8657776213,,,2581.3411282052
11.099997,22.625267,-0.0400971,112.000397,99.334839,5600.0001668741,,,2581.4030769231
11.129996,22.708607,-0.0391011,112.064514,100.013916,5599.9329722476,,,2581.3721025641
11.159996,22.791946,-0.0380166,112.128632,100.693024,5600.0001668741,,,2581.4030769231
11.189996,22.875286,-0.0369707,112.183411,101.378387,5600.0001668741,,,2581.4030769231
11.219995,22.958626,-0.0359524,112.238205,102.063721,5599.9329722478,,,2581.3721025642
11.249995,23.041965,-0.0351421,112.292984,102.749084,5600.0001668741,,,2581.4030769231
11.279995,23.125305,-0.0342762,112.33606,103.442352,5600.0001668741,,,2581.4030769231
11.309995,23.208645,-0.033352,112.379135,104.13562,5599.8657776211,,,2581.3411282051
11.339994,23.291983,-0.0326199,112.422226,104.828888,5599.9329722478,,,2581.3721025642
11.369994,23.375322,-0.0318111,112.453354,105.530304,5600.0001668741,,,2581.4030769231
11.399994,23.458662,-0.0309478,112.484497,106.23172,5600.0001668741,,,2581.4030769231
11.429994,23.542002,-0.0302594,112.515625,106.933167,5599.9329722476,,,2581.3721025641
11.459993,23.625341,-0.0295088,112.535187,107.642609,5599.8657776213,,,2581.3411282052
11.489993,23.708679,-0.028698,112.554764,108.35202,5600.0001668741,,,2581.4030769231
11.519993,23.792019,-0.0279112,112.566376,109.067047,5599.8657776213,,,2581.3411282052
11.549993,23.875357,-0.0271641,112.577988,109.782074,5599.9329722476,,,2581.3721025641
11.579992,23.958696,-0.0265764,112.5896,110.497131,5600.0001668741,,,2581.4030769231
11.609992,24.042036,-0.0259379,112.591187,111.21933,5599.8657776213,,,2581.3411282052
11.639992,24.125374,-0.0252647,112.592758,111.941528,5599.8657776211,,,2581.3411282051
11.669991,24.208712,-0.0247386,112.594345,112.663696,5599.9329722478,,,2581.3721025642
11.699991,24.292051,-0.0241463,112.585709,113.393341,5600.0001668741,,,2581.4030769231
11.729991,24.375391,-0.0235083,112.577072,114.122955,5600.0001668741,,,2581.4030769231
11.759991,24.458731,-0.0230105,112.568436,114.8526,5599.9329722476,,,2581.3721025641
11.78999,24.54207,-0.0224548,112.549896,115.5896,5600.0001668741,,,2581.4030769231
11.81999,24.62541,-0.0218727,112.531357,116.326599,5600.0001668741,,,2581.4030769231
11.84999,24.70875,-0.0213008,112.505829,117.068909,5599.9329722478,,,2581.3721025642
11.87999,24.792089,-0.02075,112.480301,117.811218,5600.0001668741,,,2581.4030769231
11.909989,24.875429,-0.0203165,112.454773,118.553528,5600.0001668741,,,2581.4030769231
11.939989,24.958769,-0.0198407,112.420654,119.302521,5600.0001668741,,,2581.4030769231
11.969989,25.042109,-0.0193518,112.386536,120.051514,5599.7985829948,,,2581.3101538462
11.999989,25.125446,-0.0189637,112.352432,120.800507,5600.0001668741,,,2581.4030769231
12.029988,25.208786,-0.0185283,112.309525,121.556488,5599.8657776213,,,2581.3411282052
12.059988,25.292124,-0.0180511,112.266617,122.312469,5599.8657776211,,,2581.3411282051
12.089988,25.375462,-0.0176839,112.223724,123.068451,5599.9329722478,,,2581.3721025642
12.119987,25.458801,-0.0172597,112.172272,123.831451,5600.0001668741,,,2581.4030769231
12.149987,25.542141,-0.0168333,112.120819,124.594452,5600.0001668741,,,2581.4030769231
12.179987,25.625481,-0.0165015,112.069366,125.357452,5599.9329722476,,,2581.3721025641
12.209987,25.70882,-0.0161196,112.009644,126.127411,5600.0001668741,,,2581.4030769231
12.239986,25.79216,-0.0157064,111.949921,126.897369,5599.8657776213,,,2581.3411282052
12.269986,25.875498,-0.0153831,111.890198,127.667297,5600.0001668741,,,2581.4030769231
12.299986,25.958838,-0.015022,111.822525,128.444153,5599.9329722476,,,2581.3721025641
12.329986,26.042177,-0.0146419,111.754852,129.221008,5600.0001668741,,,2581.4030769231
12.359985,26.125517,-0.0142628,111.68158,130.002899,5599.8657776213,,,2581.3411282052
12.389985,26.208855,-0.0139163,111.608307,130.78479,5599.9329722476,,,2581.3721025641
12.419985,26.292194,-0.0136423,111.535049,131.56665,5600.0001668741,,,2581.4030769231
12.449985,26.375534,-0.0133331,111.454834,132.354919,5599.8657776213,,,2581.3411282052
12.479984,26.458872,-0.0130064,111.374619,133.143158,5599.8657776213,,,2581.3411282052
12.509984,26.54221,-0.0127476,111.294388,133.931427,5599.9329722476,,,2581.3721025641
12.539984,26.625549,-0.0124535,111.207077,134.72641,5600.0001668741,,,2581.4030769231
12.569983,26.708889,-0.0121463,111.119781,135.521362,5599.8657776213,,,2581.3411282052
12.599983,26.792227,-0.0119064,111.032471,136.316315,5599.9329722476,,,2581.3721025641
12.629983,26.875566,-0.0116293,110.938248,137.118073,5600.0001668741,,,2581.4030769231
12.659983,26.958906,-0.0113469,110.844025,137.9198,5600.0001668741,,,2581.4030769231
12.689982,27.042246,-0.0111265,110.749802,138.721527,5600.0001668741,,,2581.4030769231
12.719982,27.125586,-0.010865,110.64888,139.530029,5599.9329722478,,,2581.3721025642
12.749982,27.208925,-0.0105917,110.547958,140.338531,5600.0001668741,,,2581.4030769231
12.779982,27.292265,-0.0103752,110.447037,141.147064,5600.0001668741,,,2581.4030769231
12.809981,27.375605,-0.0101319,110.339676,141.962311,5599.7985829948,,,2581.3101538462
12.839981,27.458942,-0.00987108,110.232315,142.777557,399.0016917555,,,183.9257435898
12.869981,27.46488,-0.00961781,110.120377,143.597748,398.8673025025,,,183.8637948717
12.899981,27.470816,-0.00937747,110.008438,144.417908,398.934497129,,,183.8947692308
12.92998,27.476753,-0.00919766,109.8965,145.238068,-10759.8083359895,,,-4959.8931282051
12.95998,27.316624,-0.00915146,109.781311,146.048035,-10759.8755306163,,,-4959.9241025642
12.98998,27.156494,-0.00887345,109.666122,146.858002,-10759.8083359895,,,-4959.8931282051
13.019979,26.996365,-0.0086768,109.550919,147.667938,-13247.1518226369,,,-6106.470974359
13.049979,26.799219,-0.00868848,109.433716,148.46051,-13247.0846280104,,,-6106.44
13.079979,26.602074,-0.00838317,109.316513,149.253113,-13247.0174333841,,,-6106.4090256411
13.109979,26.40493,-0.00816986,109.199326,150.045685,-13730.01240818,,,-6329.0527179488
13.139978,26.200598,-0.00817932,109.080872,150.819305,-13730.0796028062,,,-6329.0836923076
13.169978,25.996265,-0.00786951,108.962418,151.592926,-13729.8780189272,,,-6328.9907692309
13.199978,25.791935,-0.00765179,108.843964,152.366547,-13819.6500398405,,,-6370.3725128204
13.229978,25.586269,-0.00764373,108.724854,153.120911,-13819.4484559615,,,-6370.2795897436
13.259977,25.380606,-0.00734924,108.605743,153.875275,-13819.5156505877,,,-6370.3105641025
13.289977,25.174942,-0.00714495,108.486633,154.629639,-13819.381261335,,,-6370.2486153846
13.319977,24.96928,-0.007008,108.367523,155.383972,-13842.4290182013,,,-6380.8728205129
13.349977,24.763275,-0.00708176,108.248215,156.113159,-13842.2946289483,,,-6380.8108717949
13.379976,24.557272,-0.00678379,108.128906,156.842346,-13842.1602396956,,,-6380.7489230769
13.409976,24.351271,-0.00657834,108.009583,157.571533,-13842.4290182013,,,-6380.8728205129
13.439976,24.145266,-0.00655143,107.890686,158.281433,-13842.4962128276,,,-6380.9037948718
13.469975,23.93926,-0.00629033,107.77179,158.991333,-13842.2946289486,,,-6380.810871795
13.499975,23.733257,-0.00610941,107.652908,159.701233,-13842.4290182011,,,-6380.8728205128
13.529975,23.527252,-0.00608736,107.534821,160.391724,-13842.4290182013,,,-6380.8728205129
13.559975,23.321247,-0.00584295,107.416748,161.082214,-13842.2946289483,,,-6380.8108717949
13.589974,23.115244,-0.00567349,107.29866,161.772705,-13842.2946289483,,,-6380.8108717949
13.619974,22.909241,-0.00555112,107.180588,162.463165,-13842.4290182013,,,-6380.8728205129
13.649974,22.703236,-0.0055926,107.064011,163.129089,-13842.4290182013,,,-6380.8728205129
13.679974,22.497231,-0.00536824,106.947418,163.794983,-13842.4962128276,,,-6380.9037948718
13.709973,22.291225,-0.00521162,106.830841,164.460907,-13842.4290182013,,,-6380.8728205129
13.739973,22.08522,-0.00518871,106.715881,165.106781,-13842.4290182013,,,-6380.8728205129
13.769973,21.879215,-0.00497333,106.600906,165.752655,-13842.4290182011,,,-6380.8728205128
13.799973,21.67321,-0.00482513,106.485947,166.398499,-13842.4290182013,,,-6380.8728205129
13.829972,21.467205,-0.00472211,106.370972,167.044342,-13842.4290182013,,,-6380.8728205129
13.859972,21.2612,-0.00475309,106.258347,167.665863,-13842.4290182011,,,-6380.8728205128
13.889972,21.055195,-0.0045514,106.145721,168.287384,-13842.4290182013,,,-6380.8728205129
13.919971,20.84919,-0.00441462,106.033112,168.908875,-13842.2946289483,,,-6380.8108717949
13.949971,20.643187,-0.00431637,105.920502,169.530365,-13842.4962128278,,,-6380.9037948719
13.979971,20.437181,-0.00434629,105.810715,170.126648,-13842.4290182011,,,-6380.8728205128
14.009971,20.231176,-0.00416296,105.700912,170.722931,-13842.2946289486,,,-6380.810871795
14.03997,20.025173,-0.00403236,105.591125,171.319214,-13842.2946289483,,,-6380.8108717949
14.06997,19.81917,-0.00393793,105.481323,171.915497,-13842.5634074541,,,-6380.9347692308
14.09997,19.613163,-0.00395507,105.374756,172.486359,-13842.4290182013,,,-6380.8728205129
14.12997,19.407158,-0.00378299,105.268173,173.05722,-13842.4290182011,,,-6380.8728205128
14.159969,19.201153,-0.00365944,105.161606,173.628082,-13842.4290182013,,,-6380.8728205129
14.189969,18.995148,-0.00357054,105.055023,174.198914,-13842.2946289483,,,-6380.8108717949
14.219969,18.789145,-0.00351055,104.948456,174.769745,-13842.4962128278,,,-6380.9037948719
14.249969,18.583139,-0.0035645,104.846176,175.309723,-13842.4290182011,,,-6380.8728205128
14.279968,18.377134,-0.0033971,104.743896,175.849701,-13842.4290182013,,,-6380.8728205129
14.309968,18.171129,-0.00327911,104.641617,176.389679,-13842.2946289483,,,-6380.8108717949
14.339968,17.965126,-0.00319065,104.539337,176.929657,-13842.4290182013,,,-6380.8728205129
14.369967,17.759121,-0.00319449,104.44104,177.443451,-13842.4290182013,,,-6380.8728205129
14.399967,17.553116,-0.00304229,104.342743,177.957214,-13842.4290182011,,,-6380.8728205128
14.429967,17.347111,-0.00293224,104.244446,178.470978,-13842.4290182013,,,-6380.8728205129
14.459967,17.141106,-0.00285491,104.146149,178.984772,-13842.3618235748,,,-6380.8418461539
14.489966,16.935102,-0.00280159,104.047867,179.498535,-13842.5634074541,,,-6380.9347692308
14.519966,16.729095,-0.00283447,103.954575,179.981354,-13842.5634074541,,,-6380.9347692308
14.549966,16.523088,-0.00270018,103.861282,180.464172,-13842.4290182013,,,-6380.8728205129
14.579966,16.317083,-0.002599,103.76799,180.946991,-13842.4290182013,,,-6380.8728205129
14.609965,16.111078,-0.00252263,103.674698,181.42981,-13842.3618235747,,,-6380.8418461538
14.639965,15.905074,-0.00247351,103.581406,181.912628,-13842.2274343221,,,-6380.779897436
14.669965,15.699072,-0.00243669,103.488098,182.395477,-13842.4962128276,,,-6380.9037948718
14.699965,15.493066,-0.00248269,103.401215,182.840698,-13842.4290182013,,,-6380.8728205129
14.729964,15.287061,-0.0023478,103.314331,183.285919,-13842.4290182012,,,-6380.8728205128
14.759964,15.081056,-0.0022445,103.227448,183.73114,-13842.4290182013,,,-6380.8728205129
14.789964,14.875051,-0.00216941,103.140564,184.176361,-13842.2946289483,,,-6380.8108717949
14.819963,14.669048,-0.00211327,103.05368,184.621613,-13842.4962128277,,,-6380.9037948718
14.849963,14.463042,-0.00212064,102.972626,185.034332,-13842.4962128277,,,-6380.9037948718
14.879963,14.257036,-0.00200728,102.891571,185.447052,-13842.4962128276,,,-6380.9037948718
14.909963,14.05103,-0.00192206,102.810516,185.859772,-13842.4290182013,,,-6380.8728205129
14.939962,13.845025,-0.00185681,102.729462,186.272491,-13842.3618235748,,,-6380.8418461539
14.969962,13.639021,-0.00180431,102.648407,186.685211,-13842.2946289483,,,-6380.8108717949
14.999962,13.433018,-0.00177414,102.567352,187.097931,-13842.5634074542,,,-6380.9347692308
15.029962,13.227011,-0.0017997,102.493393,187.472351,-13842.4962128276,,,-6380.9037948718
15.059961,13.021005,-0.00169887,102.419434,187.846771,-13842.4962128277,,,-6380.9037948718
15.089961,12.814999,-0.0016114,102.345459,188.221191,-13842.4290182013,,,-6380.8728205129
15.119961,12.608994,-0.00154423,102.2715,188.595642,-13842.4962128276,,,-6380.9037948718
15.149961,12.402988,-0.00149698,102.197525,188.970062,-13842.3618235748,,,-6380.8418461539
15.17996,12.196984,-0.00145632,102.123566,189.344513,-13842.2946289485,,,-6380.8108717949
15.20996,11.990981,-0.00142918,102.049591,189.718933,-13842.4962128277,,,-6380.9037948718
15.23996,11.784975,-0.00145702,101.984207,190.048279,-13842.4962128276,,,-6380.9037948718
15.269959,11.578969,-0.0013657,101.918839,190.377625,-13842.4290182013,,,-6380.8728205129
15.299959,11.372964,-0.00129491,101.853455,190.70697,-13842.4290182012,,,-6380.8728205128
15.329959,11.166959,-0.00123832,101.788086,191.036316,-13842.4290182013,,,-6380.8728205129
15.359959,10.960954,-0.00119102,101.722702,191.365662,-13842.3618235748,,,-6380.8418461539
15.389958,10.75495,-0.0011579,101.657333,191.695007,-13842.3618235747,,,-6380.8418461538
15.419958,10.548946,-0.00112864,101.591949,192.024353,-13842.2274343221,,,-6380.779897436
15.449958,10.342944,-0.00110617,101.526581,192.353699,-13842.4962128276,,,-6380.9037948718
15.479958,10.136938,-0.00113414,101.471497,192.630188,-13842.4962128277,,,-6380.9037948718
15.509957,9.930932,-0.00105485,101.416412,192.906677,-13842.4962128277,,,-6380.9037948718
15.539957,9.724926,-0.00099026,101.361328,193.183167,-13842.4290182012,,,-6380.8728205128
15.569957,9.518921,-0.000932715,101.306244,193.459656,-13842.4290182013,,,-6380.8728205129
15.599957,9.312916,-0.000889461,101.251144,193.736145,-13842.3618235748,,,-6380.8418461539
15.629956,9.106912,-0.000856029,101.19606,194.012604,-13842.3618235748,,,-6380.8418461539
15.659956,8.900908,-0.000827238,101.140961,194.289093,-13842.3618235748,,,-6380.8418461539
15.689956,8.694904,-0.000805503,101.085876,194.565552,-13842.227434322,,,-6380.7798974359
15.719955,8.488902,-0.000786575,101.030777,194.84201,-13842.4962128277,,,-6380.9037948718
15.749955,8.282896,-0.000807642,100.98819,195.055237,-13842.4962128276,,,-6380.9037948718
15.779955,8.07689,-0.000750077,100.945602,195.268463,-13842.4962128277,,,-6380.9037948718
15.809955,7.870884,-0.00069228,100.903015,195.481689,-13842.4962128277,,,-6380.9037948718
15.839954,7.664878,-0.000641822,100.860428,195.694916,-13842.4290182013,,,-6380.8728205128
15.869954,7.458873,-0.00060625,100.817841,195.908142,-13842.4290182012,,,-6380.8728205128
15.899954,7.252868,-0.000570888,100.775253,196.121368,-13842.4290182013,,,-6380.8728205128
15.929954,7.046863,-0.000542864,100.732666,196.334595,-13842.4290182013,,,-6380.8728205128
15.959953,6.840858,-0.000514841,100.690079,196.547821,-13842.3618235748,,,-6380.8418461539
15.989953,6.634854,-0.000497089,100.647491,196.761047,-13842.3618235748,,,-6380.8418461539
16.019953,6.42885,-0.000484159,100.604919,196.974274,-13842.2946289484,,,-6380.8108717949
16.049953,6.222847,-0.00047102,100.562332,197.1875,-13842.5634074541,,,-6380.9347692308
16.079954,6.01684,-0.000460815,100.51976,197.400726,-13842.5634074542,,,-6380.9347692308
16.109955,5.810833,-0.000491997,100.501968,197.489716,-13842.5634074541,,,-6380.9347692308
16.139956,5.604826,-0.000444046,100.484177,197.578705,-13842.5634074542,,,-6380.9347692308
16.169956,5.398819,-0.000400824,100.466385,197.667694,-13842.6306020805,,,-6380.9657435897
16.199957,5.192811,-0.000369178,100.448593,197.756683,-13842.5634074541,,,-6380.9347692308
16.229958,4.986804,-0.000337306,100.430801,197.845673,-13842.6306020806,,,-6380.9657435898
16.259958,4.780796,-0.000313811,100.41301,197.934662,-13842.6306020805,,,-6380.9657435897
16.289959,4.574788,-0.000290091,100.395218,198.023651,-13842.6306020805,,,-6380.9657435897
16.31996,4.36878,-0.000263201,100.377426,198.11264,-13842.697796707,,,-6380.9967179487
16.34996,4.162771,-0.000247405,100.359634,198.20163,-13842.6306020806,,,-6380.9657435898
16.379961,3.956763,-0.000228667,100.341843,198.290619,-13842.697796707,,,-6380.9967179487
16.409962,3.750754,-0.000213098,100.324051,198.379608,-13842.7649913334,,,-6381.0276923077
16.439962,3.544744,-0.000205453,100.306259,198.468597,-13842.697796707,,,-6380.9967179487
16.469963,3.338735,-0.000189884,100.288467,198.557587,-13842.7649913334,,,-6381.0276923077
16.499964,3.132725,-0.00018224,100.270676,198.646576,-13842.7649913334,,,-6381.0276923077
16.529964,2.926715,-0.000174822,100.252869,198.735565,-13842.7649913334,,,-6381.0276923077
16.559965,2.720705,-0.000167177,100.235077,198.824585,-13842.8321859599,,,-6381.0586666667
16.589966,2.514694,-0.000156363,100.21727,198.913574,-13842.8993805863,,,-6381.0896410256
16.619967,2.308682,-0.000156869,100.199463,199.002594,-13842.8321859599,,,-6381.0586666667
16.649967,2.102671,-0.000149451,100.181671,199.091614,-13842.8993805863,,,-6381.0896410256
16.679968,1.896659,-0.000149957,100.163864,199.180603,-13842.9665752127,,,-6381.1206153846
16.709969,1.690646,-0.000142312,100.146072,199.269623,-13842.9665752127,,,-6381.1206153846
16.739969,1.484633,-0.000142818,100.128265,199.358612,-13843.0337698392,,,-6381.1515897436
16.76997,1.278619,-0.0001354,100.110474,199.447632,-13843.0337698392,,,-6381.1515897436
16.799971,1.072605,-0.000135906,100.092667,199.536621,-13843.168159092,,,-6381.2135384615
16.829971,0.866589,-0.000136412,100.074875,199.625641,-13843.2353537184,,,-6381.2445128205
16.859972,0.660572,-0.000136917,100.057068,199.714661,-13843.3025483449,,,-6381.2754871795
16.889973,0.454554,-0.00013717,100.039276,199.80365,-13843.4369375977,,,-6381.3374358974
16.919973,0.248534,-0.000129526,100.021469,199.89267,-13843.7057161035,,,-6381.4613333333
16.949974,0.04251,-0.000130032,100.003677,199.981659,-2856.4435696402,,,-1316.72
